date,ticker,open,high,low,close,volume
2024-01-02,AAA,29.8752,30.3236,29.7294,30.1877,445939
2024-01-02,BBB,42.0738,42.3873,42.0344,42.305,811656
2024-01-02,CCC,53.7771,53.9316,53.0309,53.1515,1376197
2024-01-02,DDD,66.0243,66.2024,65.7267,65.9204,284039
2024-01-02,EEE,78.3575,80.0865,78.1639,80.0468,817232
2024-01-03,AAA,30.2031,30.2746,29.7061,29.7945,304314
2024-01-03,BBB,42.1811,42.7623,42.0637,42.5566,1445493
2024-01-03,CCC,53.2568,54.1562,53.0551,53.9786,1327983
2024-01-03,DDD,65.881,66.0569,64.9393,65.0608,1309881
2024-01-03,EEE,80.5605,80.5729,79.8292,79.8482,434420
2024-01-04,AAA,29.8993,30.0355,29.4743,29.5669,711186
2024-01-04,BBB,42.6524,42.6701,42.3317,42.4891,186251
2024-01-04,CCC,54.1637,54.2057,53.1963,53.4459,960518
2024-01-04,DDD,65.0767,65.3877,64.7971,64.9791,259020
2024-01-04,EEE,79.94,80.2791,78.6276,78.9334,361012
2024-01-05,AAA,29.4653,29.9211,29.4334,29.8097,1266045
2024-01-05,BBB,42.4252,42.9038,42.3327,42.8188,1281814
2024-01-05,CCC,53.4083,53.9255,53.2628,53.7213,1427142
2024-01-05,DDD,65.1278,65.3722,64.2368,64.5422,221238
2024-01-05,EEE,79.3046,79.8562,78.8782,79.8142,441596
2024-01-08,AAA,29.8037,30.2809,29.7549,30.2014,269654
2024-01-08,BBB,42.7541,42.9607,42.7303,42.7502,561191
2024-01-08,CCC,53.6969,54.2235,53.46,54.0668,469552
2024-01-08,DDD,64.6942,65.5064,64.4684,65.3233,228700
2024-01-08,EEE,80.0477,80.076,79.3199,79.5593,778337
2024-01-09,AAA,30.1497,30.2933,30.0271,30.224,1461321
2024-01-09,BBB,42.8147,42.8466,42.3708,42.6119,590063
2024-01-09,CCC,54.0362,54.2056,53.1505,53.3227,1175399
2024-01-09,DDD,65.1591,65.3782,64.5277,64.7758,273835
2024-01-09,EEE,79.0548,81.4223,78.9893,81.1737,573194
2024-01-10,AAA,30.2738,30.5526,30.0534,30.4351,663968
2024-01-10,BBB,42.7755,43.3757,42.5762,43.3744,997226
2024-01-10,CCC,53.5444,53.6052,53.3649,53.5609,471102
2024-01-10,DDD,64.7565,64.9386,63.9741,64.0658,1121238
2024-01-10,EEE,81.4261,82.4333,81.269,81.9764,942786
2024-01-11,AAA,30.336,30.4644,30.1677,30.3271,1457112
2024-01-11,BBB,43.3702,43.5319,42.368,42.543,1291644
2024-01-11,CCC,53.5994,53.6974,52.2597,52.378,643862
2024-01-11,DDD,64.0247,64.3981,63.9679,64.0043,205616
2024-01-11,EEE,81.4376,84.2634,81.0371,83.9089,562863
2024-01-12,AAA,30.2252,30.4055,30.0952,30.3645,1421204
2024-01-12,BBB,42.5925,42.9673,42.3603,42.7133,1188774
2024-01-12,CCC,52.3425,52.6923,51.8053,51.8298,786246
2024-01-12,DDD,63.3355,63.4646,63.1624,63.3022,349731
2024-01-12,EEE,83.5025,84.1216,83.4524,83.7126,482465
2024-01-15,AAA,30.2837,30.7475,30.1858,30.6414,757040
2024-01-15,BBB,42.6852,42.7067,42.4738,42.6097,817478
2024-01-15,CCC,52.1879,52.2962,50.8487,50.9991,1156577
2024-01-15,DDD,63.5201,64.646,63.3766,64.4426,913337
2024-01-15,EEE,83.9522,84.0989,83.6729,83.8096,1053956
2024-01-16,AAA,30.7482,30.9076,30.6142,30.8014,1242466
2024-01-16,BBB,42.4245,43.5331,42.3749,43.3738,435594
2024-01-16,CCC,50.8064,50.9523,50.4042,50.8237,192701
2024-01-16,DDD,64.4375,65.6141,64.4096,65.5248,826269
2024-01-16,EEE,84.1469,84.7843,84.0918,84.0931,534365
2024-01-17,AAA,30.8792,30.991,30.8063,30.9884,189718
2024-01-17,BBB,43.2797,44.4544,43.2475,44.2806,1408503
2024-01-17,CCC,50.9553,51.0235,50.3008,50.3286,830051
2024-01-17,DDD,66.1215,66.5655,66.0243,66.3582,1392813
2024-01-17,EEE,84.4358,84.5306,82.6458,82.7825,410582
2024-01-18,AAA,30.9092,30.9849,30.709,30.894,760289
2024-01-18,BBB,44.3873,45.5476,44.2031,45.4279,1329886
2024-01-18,CCC,50.5622,51.4182,50.458,51.1577,208878
2024-01-18,DDD,66.5047,66.5399,65.004,65.2717,981414
2024-01-18,EEE,82.7573,83.059,81.8251,82.151,1084366
2024-01-19,AAA,30.6861,31.4064,30.584,31.3333,1062291
2024-01-19,BBB,45.369,46.3232,45.2775,46.2035,1469894
2024-01-19,CCC,51.2378,51.9219,51.2256,51.8072,239352
2024-01-19,DDD,65.2143,66.0619,64.9964,65.7902,1283368
2024-01-19,EEE,82.3902,82.6286,80.122,80.5508,841627
2024-01-22,AAA,31.4225,31.7803,31.3501,31.6352,638698
2024-01-22,BBB,46.3319,46.4946,45.7356,45.9333,1051318
2024-01-22,CCC,52.0308,52.0623,51.7813,52.0038,1174025
2024-01-22,DDD,66.2771,66.4294,64.818,65.1144,1298567
2024-01-22,EEE,80.0346,80.2692,79.3376,79.7837,898147
2024-01-23,AAA,31.611,32.0576,31.5878,32.0432,756466
