article_id,ticker,published_at,available_at,title,body,source,expected_label
N0124,DDD,2024-01-03T20:40:00-05:00,2024-01-04T09:30:00-05:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0009,AAA,2024-01-04T10:25:00-05:00,2024-01-04T10:25:00-05:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0050,BBB,2024-01-08T14:07:00-05:00,2024-01-08T14:07:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0135,EEE,2024-01-12T17:11:00-05:00,2024-01-15T09:30:00-05:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0118,DDD,2024-01-16T14:40:00-05:00,2024-01-16T14:40:00-05:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0013,AAA,2024-01-17T10:18:00-05:00,2024-01-17T10:18:00-05:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0001,AAA,2024-01-18T10:18:00-05:00,2024-01-18T10:18:00-05:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0003,AAA,2024-01-19T17:19:00-05:00,2024-01-22T09:30:00-05:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0012,AAA,2024-01-25T20:31:00-05:00,2024-01-26T09:30:00-05:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0108,DDD,2024-01-25T20:16:00-05:00,2024-01-26T09:30:00-05:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0151,EEE,2024-02-06T17:40:00-05:00,2024-02-07T09:30:00-05:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0097,DDD,2024-02-09T10:11:00-05:00,2024-02-09T10:11:00-05:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0036,BBB,2024-02-13T20:26:00-05:00,2024-02-14T09:30:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
